run,head,overall,macro,down,cruise,up,loss
q4_d2,classical,95.075,76.26506024096386,100.0,100.0,28.795180722891565,0.10574481658759187
q4_d2,classical_twin,94.25833333333333,72.3293172690763,100.0,100.0,16.987951807228914,0.1292460601702356
q4_d2,quantum,88.625,40.48192771084337,0.0,100.0,21.44578313253012,0.17362108205755283
q8_d2,classical,95.075,76.26506024096386,100.0,100.0,28.795180722891565,0.10574481658759187
q8_d2,classical_twin,94.99166666666666,75.86345381526104,100.0,100.0,27.590361445783135,0.11685633078900624
q8_d2,quantum,94.56666666666666,73.81526104417672,100.0,100.0,21.44578313253012,0.1335899616678528
q8_d2 phase-balanced,classical,95.34166666666667,77.55020080321286,100.0,100.0,32.65060240963855,0.11091627526236467
q8_d2 phase-balanced,classical_twin,94.99166666666666,75.86345381526104,100.0,100.0,27.590361445783135,0.11588841749914082
q8_d2 phase-balanced,quantum,94.56666666666666,73.81526104417672,100.0,100.0,21.44578313253012,0.1317195824906261
q8_d3,classical,95.075,76.26506024096386,100.0,100.0,28.795180722891565,0.10574481658759187
q8_d3,classical_twin,94.99166666666666,75.86345381526104,100.0,100.0,27.590361445783135,0.11685633078900624
q8_d3,quantum,94.51666666666667,73.57429718875503,100.0,100.0,20.722891566265062,0.13354924097160822
