model_key,overall,macro,up,down,cruise,loss
qwen3_5_4b_base,95.74166666666667,79.47791164658634,38.433734939759034,100.0,100.0,0.09531427650498038
lfm2_5_2_6b,95.63333333333334,78.95582329317268,36.86746987951807,100.0,100.0,0.10110223594059418
gemma_3_4b_pt,95.44166666666666,78.03212851405623,34.096385542168676,100.0,100.0,0.10652636820487142
llama_3_2_3b,95.19999999999999,76.86746987951807,30.602409638554217,100.0,100.0,0.11112050555660419
